"municipio","geocodigo","gama","intercept","c","t","n"
"ITAGUAI","3302007","1","1.26300340112097e-05","3.15512667161374e-05","5.35775916692702e-05","4.30447560229957e-06"
"RIO DE JANEIRO","3304557","1","1.14740936533022e-05","2.20984112370063e-05","8.61696779231608e-05","9.63326622722003e-06"
"MESQUITA","3302858","1","2.48341226800215e-05","3.3445302246952e-05","0.000254382460511818","1.89080767902066e-05"
"SAO JOAO DE MERITI","3305109","1","2.2338602866579e-05","3.06557037131396e-05","0.000297329185981108","1.42856689664553e-05"
"NOVA IGUACU","3303500","1","3.47400977676623e-05","5.36235036794714e-05","0.000211563369292208","1.96020663969792e-05"
"BELFORD ROXO","3300456","1","2.50751247100186e-05","3.4110516141596e-05","0.000169386394243524","1.46703795574785e-05"
"BARRA DO PIRAI","3300308","1","3.84255148931407e-06","8.59065304123961e-06","3.20753877055543e-05","1.88863788353868e-06"
"VALENCA","3306107","1","4.87709418990312e-06","1.05288829283664e-05","0.00013334597157328","2.38585392971459e-06"
"NILOPOLIS","3303203","1","2.75418845263873e-05","3.69092813782234e-05","0.000215068872393076","2.22908364777557e-05"
"QUEIMADOS","3304144","1","3.81667826494688e-05","6.50103967169785e-05","0.000216982735795311","1.75577766075902e-05"
"VOLTA REDONDA","3306305","1","3.90924820954122e-06","6.16503294813574e-06","3.25856310501496e-05","0"
"SEROPEDICA","3305554","1","9.43334167555516e-06","0","0.000203259307737458","5.33189710235939e-06"
"ENG PAULO DE FRONTIN","3301801","1","6.66254580188443e-06","0","0","0"
"DUQUE DE CAXIAS","3301702","1","1.78725812750886e-05","2.81273567686404e-05","0.000110092243552306","1.42841094977639e-05"
"JAPERI","3302270","1","3.00477638285777e-05","0","0.000123777695259314","0"
"PATY DO ALFERES","3303856","1","1.13149381638753e-05","0","0","0"
"SAPUCAIA","3305406","1","6.06232831296771e-06","0","0","1.76552388805748e-05"
"TRES RIOS","3306008","1","6.33720960129013e-06","1.66602816800206e-05","0","3.30660666268471e-06"
"PIRAI","3304003","1","6.58364451905198e-06","0","0","0"
"RIO CLARO","3304409","1","8.12096023851073e-06","5.68610748596272e-05","0","1.78032012123751e-06"
"BARRA MANSA","3300407","1","8.71983589113315e-06","1.64593918991243e-05","9.34136082870797e-05","5.30398169097132e-06"
"PARACAMBI","3303609","1","1.46074344445154e-05","0","9.35191246609932e-05","0"
"QUATIS","3304128","1","2.10044613475903e-06","0","0","0"
"MENDES","3302809","1","6.70504190033261e-06","0","0.000264830508474576","0"
"PINHEIRAL","3303955","1","5.74669525115453e-06","0","0","0"
"MIGUEL PEREIRA","3302908","1","7.43597888738226e-06","0","0.000121773015099854","0"
"VASSOURAS","3306206","1","3.24422583314449e-06","0","8.26309700875888e-05","0"
"CARMO","3301207","1","5.0734795952457e-06","0","0","0"
"PARAIBA DO SUL","3303708","1","9.38683152630944e-06","3.26474573836402e-05","0","1.73309738270943e-06"
"RIO DAS FLORES","3304524","1","3.31946534491175e-06","0","0","0"
"CDOR LEVY GASPARIAN","3300951","1","8.22363912807601e-06","0","0","0"
